,row,column,cor,p
1,ln_Bus,ln_Train,6.72E-01,0.00E+00
2,ln_Bus,X7_PropComm,4.42E-01,8.31E-08
3,ln_Train,X7_PropComm,3.20E-01,1.56E-04
4,ln_Bus,X10_Entropy,3.39E-01,5.91E-05
5,ln_Train,X10_Entropy,1.88E-01,2.91E-02
6,X7_PropComm,X10_Entropy,4.48E-01,4.93E-08
7,ln_Bus,X12_Intersections,1.82E-01,3.44E-02
8,ln_Train,X12_Intersections,3.17E-01,1.77E-04
9,X7_PropComm,X12_Intersections,1.72E-01,4.57E-02
10,X10_Entropy,X12_Intersections,1.06E-01,2.23E-01
11,ln_Bus,X17_ACCount,4.67E-01,1.14E-08
12,ln_Train,X17_ACCount,3.70E-01,1.02E-05
13,X7_PropComm,X17_ACCount,3.50E-01,3.25E-05
14,X10_Entropy,X17_ACCount,2.30E-01,7.31E-03
15,X12_Intersections,X17_ACCount,1.47E-01,8.98E-02
16,ln_Bus,X18_ACNear,-4.02E-01,1.34E-06
17,ln_Train,X18_ACNear,-6.00E-01,1.40E-14
18,X7_PropComm,X18_ACNear,-3.18E-01,1.70E-04
19,X10_Entropy,X18_ACNear,-1.71E-01,4.79E-02
20,X12_Intersections,X18_ACNear,-3.37E-01,6.37E-05
21,X17_ACCount,X18_ACNear,-5.83E-01,1.20E-13
22,ln_Bus,X20_LOS,7.01E-01,0.00E+00
23,ln_Train,X20_LOS,6.83E-01,0.00E+00
24,X7_PropComm,X20_LOS,4.17E-01,4.75E-07
25,X10_Entropy,X20_LOS,3.06E-01,3.00E-04
26,X12_Intersections,X20_LOS,3.55E-01,2.44E-05
27,X17_ACCount,X20_LOS,4.05E-01,1.08E-06
28,X18_ACNear,X20_LOS,-4.43E-01,7.35E-08
29,ln_Bus,X21_PropFTE,-1.75E-01,4.29E-02
30,ln_Train,X21_PropFTE,-1.89E-01,2.82E-02
31,X7_PropComm,X21_PropFTE,-1.35E-01,1.20E-01
32,X10_Entropy,X21_PropFTE,-3.95E-02,6.49E-01
33,X12_Intersections,X21_PropFTE,2.75E-01,1.22E-03
34,X17_ACCount,X21_PropFTE,-1.11E-01,1.99E-01
35,X18_ACNear,X21_PropFTE,2.15E-02,8.04E-01
36,X20_LOS,X21_PropFTE,-2.01E-01,1.93E-02
37,ln_Bus,X22_MedInc,-1.82E-01,3.49E-02
38,ln_Train,X22_MedInc,-1.43E-01,9.70E-02
39,X7_PropComm,X22_MedInc,-2.05E-01,1.68E-02
40,X10_Entropy,X22_MedInc,-1.33E-01,1.24E-01
41,X12_Intersections,X22_MedInc,3.41E-01,5.09E-05
42,X17_ACCount,X22_MedInc,-4.61E-02,5.95E-01
43,X18_ACNear,X22_MedInc,-4.09E-02,6.38E-01
44,X20_LOS,X22_MedInc,-2.30E-01,7.30E-03
45,X21_PropFTE,X22_MedInc,6.89E-01,0.00E+00
46,ln_Bus,X23_MeanSize,-5.96E-02,4.92E-01
47,ln_Train,X23_MeanSize,-6.27E-02,4.70E-01
48,X7_PropComm,X23_MeanSize,-1.44E-01,9.48E-02
49,X10_Entropy,X23_MeanSize,-1.21E-01,1.61E-01
50,X12_Intersections,X23_MeanSize,-3.51E-01,2.94E-05
51,X17_ACCount,X23_MeanSize,-1.67E-01,5.22E-02
52,X18_ACNear,X23_MeanSize,2.03E-01,1.81E-02
53,X20_LOS,X23_MeanSize,-3.59E-02,6.79E-01
54,X21_PropFTE,X23_MeanSize,-3.99E-01,1.68E-06
55,X22_MedInc,X23_MeanSize,-4.40E-01,9.10E-08
56,ln_Bus,X24_Urban,1.13E-01,1.94E-01
57,ln_Train,X24_Urban,2.37E-01,5.60E-03
58,X7_PropComm,X24_Urban,-3.13E-01,2.22E-04
59,X10_Entropy,X24_Urban,-4.25E-01,2.86E-07
60,X12_Intersections,X24_Urban,2.46E-01,4.08E-03
61,X17_ACCount,X24_Urban,1.51E-01,7.94E-02
62,X18_ACNear,X24_Urban,-1.99E-01,2.09E-02
63,X20_LOS,X24_Urban,1.22E-01,1.58E-01
64,X21_PropFTE,X24_Urban,5.60E-03,9.49E-01
65,X22_MedInc,X24_Urban,1.49E-01,8.54E-02
66,X23_MeanSize,X24_Urban,-1.72E-01,4.62E-02
67,ln_Bus,X26_Access,2.73E-02,7.53E-01
68,ln_Train,X26_Access,1.86E-01,3.06E-02
69,X7_PropComm,X26_Access,1.45E-01,9.45E-02
70,X10_Entropy,X26_Access,-5.10E-02,5.57E-01
71,X12_Intersections,X26_Access,5.46E-01,7.32E-12
72,X17_ACCount,X26_Access,-9.20E-02,2.88E-01
73,X18_ACNear,X26_Access,-1.74E-01,4.30E-02
74,X20_LOS,X26_Access,7.03E-02,4.18E-01
75,X21_PropFTE,X26_Access,3.92E-01,2.50E-06
76,X22_MedInc,X26_Access,4.85E-01,2.61E-09
77,X23_MeanSize,X26_Access,-2.86E-01,7.64E-04
78,X24_Urban,X26_Access,1.21E-01,1.63E-01
79,ln_Bus,Factor1,1.92E-01,2.54E-02
80,ln_Train,Factor1,1.26E-01,1.45E-01
81,X7_PropComm,Factor1,2.78E-01,1.10E-03
82,X10_Entropy,Factor1,2.91E-01,6.21E-04
83,X12_Intersections,Factor1,1.26E-01,1.45E-01
84,X17_ACCount,Factor1,-4.61E-02,5.95E-01
85,X18_ACNear,Factor1,-1.70E-01,4.85E-02
86,X20_LOS,Factor1,1.79E-01,3.73E-02
87,X21_PropFTE,Factor1,1.41E-01,1.04E-01
88,X22_MedInc,Factor1,6.12E-02,4.81E-01
89,X23_MeanSize,Factor1,-1.35E-01,1.20E-01
90,X24_Urban,Factor1,-1.03E-01,2.36E-01
91,X26_Access,Factor1,3.67E-01,1.16E-05
92,ln_Bus,Factor2,-1.89E-01,2.79E-02
93,ln_Train,Factor2,-6.07E-02,4.85E-01
94,X7_PropComm,Factor2,-2.92E-01,5.86E-04
