,row,column,cor,p
1,ln_Bus,ln_Tram,3.30E-01,4.50E-10
2,ln_Bus,X7_PropComm,2.91E-01,5.09E-08
3,ln_Tram,X7_PropComm,4.21E-01,4.44E-16
4,ln_Bus,X9_Balance,8.48E-02,1.19E-01
5,ln_Tram,X9_Balance,-1.60E-03,9.77E-01
6,X7_PropComm,X9_Balance,-3.79E-01,5.34E-13
7,ln_Bus,X10_Entropy,5.50E-02,3.13E-01
8,ln_Tram,X10_Entropy,3.34E-01,2.68E-10
9,X7_PropComm,X10_Entropy,3.51E-01,2.73E-11
10,X9_Balance,X10_Entropy,-2.48E-01,3.72E-06
11,ln_Bus,X13_PBN,-4.66E-02,3.93E-01
12,ln_Tram,X13_PBN,-2.12E-01,8.13E-05
13,X7_PropComm,X13_PBN,1.13E-01,3.75E-02
14,X9_Balance,X13_PBN,-2.97E-01,2.61E-08
15,X10_Entropy,X13_PBN,-5.33E-02,3.28E-01
16,ln_Bus,X17_ACCount,1.53E-01,4.68E-03
17,ln_Tram,X17_ACCount,2.13E-01,7.60E-05
18,X7_PropComm,X17_ACCount,4.80E-01,0.00E+00
19,X9_Balance,X17_ACCount,-9.19E-02,9.11E-02
20,X10_Entropy,X17_ACCount,1.62E-01,2.85E-03
21,X13_PBN,X17_ACCount,1.67E-01,2.07E-03
22,ln_Bus,X18_ACNear,-6.38E-02,2.41E-01
23,ln_Tram,X18_ACNear,-1.96E-01,2.80E-04
24,X7_PropComm,X18_ACNear,-4.41E-01,0.00E+00
25,X9_Balance,X18_ACNear,2.68E-01,5.75E-07
26,X10_Entropy,X18_ACNear,-1.95E-01,2.96E-04
27,X13_PBN,X18_ACNear,-4.04E-01,1.04E-14
28,X17_ACCount,X18_ACNear,-5.55E-01,0.00E+00
29,ln_Bus,X20_LOS,4.45E-01,0.00E+00
30,ln_Tram,X20_LOS,5.72E-01,0.00E+00
31,X7_PropComm,X20_LOS,4.75E-01,0.00E+00
32,X9_Balance,X20_LOS,-8.63E-02,1.13E-01
33,X10_Entropy,X20_LOS,2.71E-01,4.20E-07
34,X13_PBN,X20_LOS,1.74E-03,9.74E-01
