OBJECTID,Sample_buffer_ID,Alt_ID,Sample_ID,Radius,OBJECTID,Set_Sample_ID,Type,Shape_Length (sqkm),Shape_Area (sqkm),Train,Tram,Bus,Patronage_Train,Patronage_Tram,Updated_Patronage_Bus,SS_Patronage_Bus,1_Emp,2_EmpDen,3_Pop,4_PopDen,5_Dwelling,6_ActDen,7_PropComm,8_RetailEmp,9_Balance,10_Entropy,11_HousingDiv,12_Intersections,13_PBN,14_DestScore,15_DestCount,16_DistCBD,17_ACCount,18_ACNear,19_FTZ,20_LOS,21_PropFTE,22_MedInc,23_MeanSize,24_Urban,25_Rural,26_Access,27_IntDensity
31,108-400,108-400-D,108,400,31,D,Trainbus,3.329360345,0.537718682,1,0,7,18413.50905,0,1388.6,2126.645997,864.3733531,1607.482465,1987.049509,3695.332847,1390.216757,5302.815312,0.747647101,212.3849719,0.940043427,0.105204562,8,164,77.40409784,8,73,5564.958907,1,259.0827503,0,421.8461538,0.563928874,300,2.658098334,0.870730503,0,405012.9646,304.9921929
32,108-600,108-600-D,108,600,32,D,Trainbus,4.897297125,1.076562373,1,0,7,18413.50905,0,1388.6,2126.645997,1725.903547,1603.161684,3954.616415,3673.374171,1439.018328,5276.535854,0.679585959,211.9018709,0.883057493,0.121682731,8,331,77.40409784,8,103,5564.958907,1,259.0827503,0,421.8461538,0.564777328,300,2.5526945,0.883373206,0,405012.9646,307.4601234
33,108-800,108-800-D,108,800,33,D,Trainbus,5.931207392,1.775127843,1,0,7,18413.50905,0,1388.6,2126.645997,2714.040824,1528.926964,6290.531464,3543.706155,1411.025265,5072.633119,0.585012211,203.0670253,0.815341356,0.15419756,8,529,77.40409784,8,145,5564.958907,1,259.0827503,0,421.8461538,0.551290878,300,2.511440613,0.81833676,0,405012.9646,298.0067053
1846,108-400,108-400-C,108,400,1846,C,Trainbus,2.788618078,0.347106857,1,0,7,18413.50905,0,1388.6,2126.645997,557.9681852,1607.48246,1228.780847,3540.065027,1269.238518,5147.547487,0.799697988,212.3849713,0.95920052,0.089904504,8,164,77.40409784,7,54,5564.958907,1,259.0827503,0,421.8461538,0.55480226,300,2.789125114,0.887373882,0,405012.9646,472.4769813
2207,108-800,108-800-C,108,800,2207,C,Trainbus,5.314544692,1.445579725,1,0,7,18413.50905,0,1388.6,2126.645997,2251.325019,1557.385581,4974.937369,3441.48253,1360.489192,4998.868111,0.632440669,206.5294488,0.840346628,0.141564044,8,529,77.40409784,8,131,5564.958907,1,259.0827503,0,421.8461538,0.550721989,300,2.529591966,0.860974357,0,405012.9646,365.9431513
2617,108-600,108-600-C,108,600,2617,C,Trainbus,3.913846766,0.818758395,1,0,7,18413.50905,0,1388.6,2126.645997,1315.875643,1607.159878,2843.329316,3472.733023,1341.137633,5079.892901,0.686902011,212.3488964,0.904643965,0.119594294,8,331,77.40409784,8,91,5564.958907,1,259.0827503,0,421.8461538,0.56511976,300,2.589393465,0.874098424,0,405012.9646,404.270664
1594,92-400,92-400-D,92,400,1594,D,Trainbus,3.113187115,0.50429052,1,0,12,12663.53792,0,5435.3,4887.789609,798.9281176,1584.261621,2056.247647,4077.506047,1670.785735,5661.767668,0.478590767,202.2400953,0.951196117,0.152767228,6,88,64.43348517,7,69,14020.87029,1,128.1505944,0,379.6923077,0.473482428,100,2.440472145,0.892159825,0,248519.0844,174.5025863
1595,92-600,92-600-D,92,600,1595,D,Trainbus,4.285048328,1.04187169,1,0,12,12663.53792,0,5435.3,4887.789609,1650.597377,1584.261664,4300.364344,4127.537378,1694.37156,5711.799041,0.279541588,202.2401007,0.902860163,0.160470264,6,154,64.43348517,7,95,14020.87029,1,128.1505944,0,379.6923077,0.482184655,150,2.436028481,0.876971394,0,248519.0844,147.8109075
1596,92-800,92-800-D,92,800,1596,D,Trainbus,5.707932427,1.70060185,1,0,12,12663.53792,0,5435.3,4887.789609,2595.715099,1526.350861,6639.021016,3903.924376,1581.105381,5430.275237,0.186184823,194.4934217,0.843787085,0.161424642,6,232,64.43348517,7,146,14020.87029,1,128.1505944,0,379.6923077,0.508360656,150,2.469110803,0.849174786,0,248519.0844,136.4222907
2159,92-800,92-800-C,92,800,2159,C,Trainbus,5.011966831,1.266400047,1,0,12,12663.53792,0,5435.3,4887.789609,1970.142007,1555.702728,5179.795926,4090.173512,1689.413707,5645.87624,0.249134193,198.4590833,0.884220444,0.162081311,6,232,64.43348517,7,132,14020.87029,1,128.1505944,0,379.6923077,0.506137698,150,2.421060925,0.858321098,0,248519.0844,183.1964556
2651,92-600,92-600-C,92,600,2651,C,Trainbus,3.592150045,0.6986253,1,0,12,12663.53792,0,5435.3,4887.789609,1106.8053,1584.261691,2807.683203,4018.868485,1671.251843,5603.130176,0.402347908,202.2401042,0.932074678,0.167316132,6,154,64.43348517,7,87,14020.87029,1,128.1505944,0,379.6923077,0.479080731,100,2.404705491,0.862191882,0,248519.0844,220.4328987
3126,92-400,92-400-C,92,400,3126,C,Trainbus,2.282916272,0.30047388,1,0,12,12663.53792,0,5435.3,4887.789609,476.0292182,1584.261562,1073.763347,3573.566351,1466.065755,5157.827913,0.66011472,202.2400877,0.966559012,0.12165028,6,88,64.43348517,7,57,14020.87029,1,128.1505944,0,379.6923077,0.465386154,100,2.437521196,0.848432933,0,248519.0844,292.8707148
337,20-400,20-400-D,20,400,337,D,Trainbus,3.205560259,0.493167241,1,0,13,7338.494817,0,3684.7,2819.954507,179.9922219,364.9719751,720.72634,1461.423794,490.7912488,1826.395769,0.087033473,77.1035653,0.949281424,0.150259613,6,159,72.43951658,5,28,29154.24718,0,521.4384132,0,542.5384615,0.562028787,300,2.977689186,0.881095601,0,47626.16897,322.4058428
338,20-600,20-600-D,20,600,338,D,Trainbus,4.257565333,0.973829485,1,0,13,7338.494817,0,3684.7,2819.954507,355.4204705,364.9719751,1886.498012,1937.195414,643.9018675,2302.167389,0.074616291,77.1035653,0.92537253,0.186338984,6,268,72.43951658,7,60,29154.24718,1,521.4384132,0,542.5384615,0.545194274,300,3.008525851,0.796173237,0,47626.16897,275.2021829
339,20-800,20-800-D,20,800,339,D,Trainbus,5.855276133,1.612674742,1,0,13,7338.494817,0,3684.7,2819.954507,588.5810856,364.9719751,3835.952975,2378.627801,783.1066735,2743.599776,0.088950584,77.1035653,0.900643688,0.20762549,6,405,72.43951658,8,83,29154.24718,1,521.4384132,0,542.5384615,0.542879418,150,3.037425017,0.753486946,0,47626.16897,251.1355759
1693,20-600,20-600-C,20,600,1693,C,Trainbus,3.8877062,0.824910279,1,0,13,7338.494817,0,3684.7,2819.954507,301.0691338,364.9719751,1430.37122,1733.971871,578.1063132,2098.943846,0.065769712,77.1035653,0.929234096,0.174722437,6,268,72.43951658,7,47,29154.24718,1,521.4384132,0,542.5384615,0.550070522,300,2.999399645,0.818306709,0,47626.16897,324.8838168
1879,20-400,20-400-C,20,400,1879,C,Trainbus,2.730511801,0.381032716,1,0,13,7338.494817,0,3684.7,2819.954507,139.066263,364.9719751,533.6541751,1400.546863,493.7477427,1765.518838,0.085860811,77.1035653,0.958908385,0.135492879,6,159,72.43951658,5,23,29154.24718,0,521.4384132,0,542.5384615,0.576732673,300,2.836563576,0.890260996,0,47626.16897,417.2870027
1943,20-800,20-800-C,20,800,1943,C,Trainbus,5.451548078,1.390039216,1,0,13,7338.494817,0,3684.7,2819.954507,507.325358,364.9719751,3076.817356,2213.475218,731.4449334,2578.447193,0.077508715,77.1035653,0.907632019,0.201907458,6,405,72.43951658,8,73,29154.24718,1,521.4384132,0,542.5384615,0.549446975,150,3.026167955,0.764233715,0,47626.16897,291.3586864
